menu_lang,zh_TW,zh_CN,en_US,vi_VN,ja_JP,ko_KR,th_TH,id_ID
menu_home,首頁,首页,Homepage,Trang chính,トップページ,메인 페이지,หน้าหลัก,Beranda
menu_productIntro,產品介紹,产品介绍,Product Introduction,Giới thiệu sản phẩm,商品紹介,상품 소개,แนะนำสินค้า,Pengenalan Produk
menu_productFeature,產品特色,产品特色,Product Feature,Đặc điểm sản phẩm,商品特色,상품 특색,ลักษณะสินค้า,Fitur Produk
menu_usageInstruction,使用說明,使用说明,Usage Instruction,Hướng dẫn sử dụng,取扱説明,사용 설명,คำแนะนำการใช้งาน,Instruksi Penggunaan
menu_announcement,訊息公告,讯息公告,Announcement,Công bố tin tức,お知らせ,소식 공지,ประกาศ,Pengumuman
menu_contactUS,聯繫我們,联系我们,Contact Us,Liên lạc chúng tôi,コンタクト,문의하기,ติดต่อเรา,Hubungi kami
alert_logout,登出,登出,Logout,Đăng xuất,サインアウト,로그아웃,ออกจากระบบ,Logout
alert_logoutTip,是否確定要登出？,是否确定要登出？,Are you sure you want to log out?,Bạn có chắc chắn bạn muốn thoát?,ログアウトしてもよろしいですか?,로그아웃하시겠습니까?,คุณแน่ใจว่าคุณต้องการที่จะออกจากระบบ?,Are you sure you want to log out?
alert_cancel,取消,取消,Cancel,Hủy bỏ,キャンセル,취소,ยกเลิก,Cancel
alert_confirm,確定,确定,Confirm,Chắc chắn,もちろん,확신하는,ยืนยัน,Confirm
home_webtitle,QPP-數位背包,QPP-数位背包,QPP - The Digital Backpack,QPP - Ba lô kỹ thuật số,QPP-デジタルバッグ,QPP-디지털 백팩,QPP - กระเป๋าดิจิทัล,QPP - The Digital Backpack
home_section_1_title,- 數位背包,- 数位背包,- The Digital Backpack,- Ba lô kỹ thuật số,- デジタルバッグ,- 디지털 백팩,- กระเป๋าดิจิทัล,- The Digital Backpack
